序号,MySQL中ID,链接,创建日期,最近更新,类型,状态,严重性,版本,操作系统,CPU架构,摘要
932,104798,https://bugs.mysql.com/bug.php?id=104798,2021-09-02 03:36:00,2021-11-07 16:24:00,MySQL Server: Replication,Closed(1416 days),S3,"8.0, 8.0.26",Any,Any,replica fails to read table map events with table name larger than 64 bytes
933,104795,https://bugs.mysql.com/bug.php?id=104795,2021-09-01 19:06:00,2023-10-31 15:58:00,Shell General / Core Client,Verified(1482 days),S3,8.0.26,Ubuntu (20.04),x86,Impossible to type upper-case cyrillic letter И in MySQL Shell
934,104789,https://bugs.mysql.com/bug.php?id=104789,2021-09-01 12:33:00,2022-02-10 01:15:00,MySQL Server: Optimizer,Closed(1321 days),S3,8.0.26,Any,Any,Equi-height histogram is not equi-height
935,104787,https://bugs.mysql.com/bug.php?id=104787,2021-09-01 08:57:00,2024-04-16 13:48:00,MySQL Server: InnoDB storage engine,Verified(763 days),S2,8.0,Any,Any,need wait buf_fix_count =0  in buf_read_page_handle_error
936,104785,https://bugs.mysql.com/bug.php?id=104785,2021-09-01 08:20:00,2021-09-02 15:58:00,MySQL Server: Replication,Verified(1482 days),S3,MySQL8.0.26,Any,Any,backup lock causes binlog_expire_logs_seconds invalid when the binlog is flushed
937,104779,https://bugs.mysql.com/bug.php?id=104779,2021-08-31 09:38:00,2021-08-31 10:02:00,MySQL Server: InnoDB storage engine,Verified(1484 days),S5,8.0.19,Any,Any,no need to own sx-latch during the period of page flusing for BUF_FLUSH_LRU
938,104778,https://bugs.mysql.com/bug.php?id=104778,2021-08-31 08:13:00,2023-01-04 18:20:00,MySQL Server: C API (client library),Closed(993 days),S3,8.0.26,Any,Any,Connection fail with FUTURE crypto policy
939,104770,https://bugs.mysql.com/bug.php?id=104770,2021-08-30 18:21:00,2021-08-31 06:24:00,MySQL Server: SYS Schema,Verified(1484 days),S3,"8.0.26, 5.7.35",Any,Any,schema_redundant_indexes suggesting dropping the PK
940,104769,https://bugs.mysql.com/bug.php?id=104769,2021-08-30 14:58:00,2022-04-27 15:17:00,MySQL Server: mysqldump Command-line Client,Closed(1245 days),S2,8.0.26,Debian,x86,CLI options deprecation warnings of mysqldump are printed to stdout
941,104760,https://bugs.mysql.com/bug.php?id=104760,2021-08-29 19:12:00,2021-09-20 12:14:00,MySQL Server: Optimizer,Verified(1484 days),S2,8.0.26,Any,Any,incorrect placement of hash join predicates in a left outer join nest
942,104756,https://bugs.mysql.com/bug.php?id=104756,2021-08-28 07:52:00,2021-10-09 07:02:00,MySQL Server: Optimizer,Verified(1445 days),S3,5.7.35,Any,Any,Incorrect query results after index creation
943,104755,https://bugs.mysql.com/bug.php?id=104755,2021-08-28 03:56:00,2021-09-02 13:19:00,MySQL Workbench: Migration,Verified(1482 days),S3,"8.0.17, 8.0.26",Windows (Microsoft Windows 10 Enterprise),x86,Unable to see Schema Details in Migration Wizard Workbench 8.0.17
944,104753,https://bugs.mysql.com/bug.php?id=104753,2021-08-27 14:57:00,2022-09-27 22:21:00,Connector / J,Closed(1092 days),S3,8.0.26,Any,Any,PreparedStatement.setFetchSize(0) causes ArrayIndexOutOfBoundsException
945,104747,https://bugs.mysql.com/bug.php?id=104747,2021-08-27 01:57:00,2021-08-27 02:04:00,MySQL Server: Charsets,Closed(1488 days),S3,8.0.25,Any,Any,DB crashed when show create view caused by a bug fix in 8.0.20
946,104746,https://bugs.mysql.com/bug.php?id=104746,2021-08-26 23:03:00,2021-08-31 09:59:00,MySQL Server: C API (client library),Verified(1484 days),S3,"8.0,5.7",Any,Any,mysql_reset_connection() does not honor client conenction flag for IGNORE_SPACE
947,104744,https://bugs.mysql.com/bug.php?id=104744,2021-08-26 21:06:00,2021-09-30 15:56:00,Connector / Python,Closed(1454 days),S2,"8.0.25, 8.0.26",Any,Any,mysql-connector-python throws exception when custom converter class used
948,104732,https://bugs.mysql.com/bug.php?id=104732,2021-08-26 07:20:00,2022-02-25 09:53:00,MySQL Server: Security: Privileges,Verified(1489 days),S3,"8.0.25, 8.0.26, 8.0.28",Any,Any,"In the case of using the role, there is a problem with the acl check of the view"
949,104730,https://bugs.mysql.com/bug.php?id=104730,2021-08-26 03:50:00,2021-08-31 13:04:00,MySQL Websites: bugs.mysql.com,Closed(1484 days),S3,,Any,Any,Broken link on home page
950,104729,https://bugs.mysql.com/bug.php?id=104729,2021-08-26 03:44:00,2021-08-31 13:03:00,MySQL Websites: bugs.mysql.com,Closed(1484 days),S3,,Any,Any,JSON doesn't get spelled JSOM
951,104725,https://bugs.mysql.com/bug.php?id=104725,2021-08-25 15:28:00,2021-08-31 12:16:00,MySQL Server: Connection Handling,Verified(1489 days),S2,5.7.34,Ubuntu (20.04.2 LTS),x86,Memory leak when set host_cache_size  to 0 without using --skip-host-cache
952,104721,https://bugs.mysql.com/bug.php?id=104721,2021-08-25 13:31:00,2022-01-25 17:17:00,MySQL Server: JSON,Closed(1481 days),S3,8.0,Any,Any,Contribution: Fix multi-valued index (bug#104700)
953,104720,https://bugs.mysql.com/bug.php?id=104720,2021-08-25 13:08:00,2021-08-26 12:13:00,MySQL Server: DML,Verified(1489 days),S3,8.0,Any,Any,Ref scan with impossible where condition returns wrong result
954,104715,https://bugs.mysql.com/bug.php?id=104715,2021-08-25 06:22:00,2021-09-13 07:09:00,MySQL Server: Stored Routines,Verified(1477 days),S1,"8.0.26, 8.0.22+",Windows (Windows 10 Enterprise 20H2),x86,Several calls of stored procedure return different values
955,104714,https://bugs.mysql.com/bug.php?id=104714,2021-08-25 04:53:00,2021-12-05 16:28:00,Shell General / Core Client,Closed(1388 days),S3,"8.0.19, 8.0.26",CentOS (7.4),x86,mysql-shell failed to connect mysql server
956,104713,https://bugs.mysql.com/bug.php?id=104713,2021-08-24 22:56:00,2024-12-22 06:54:00,MySQL Server: Optimizer,Verified(1490 days),S3,"8.0.25, 8.0.26",Any,Any,Functional Index not working with LIKE operator
957,104712,https://bugs.mysql.com/bug.php?id=104712,2021-08-24 16:55:00,2021-10-08 16:16:00,MySQL Server: Replication,Verified(1446 days),S3,5.7.35,Any,Any,IMPLICITLY added NOT NULL constraint missing in the binary log
958,104700,https://bugs.mysql.com/bug.php?id=104700,2021-08-23 15:06:00,2021-09-03 22:39:00,MySQL Server: JSON,Closed(1481 days),S1,8.0.26,Any,Any,"multi-valued index is buggy in view, prepared statement,  OR and AND clauses"
959,104698,https://bugs.mysql.com/bug.php?id=104698,2021-08-23 13:49:00,2021-08-24 06:50:00,MySQL Server: InnoDB storage engine,Verified(1492 days),S3,8.0,Any,Any,Contribution: [typo] microseconds --> milliseconds
960,104690,https://bugs.mysql.com/bug.php?id=104690,2021-08-23 10:47:00,2021-08-25 00:30:00,MySQL Server: Group Replication,Verified(1490 days),S3,"8.0.25, 8.0.26",Any,Any,transaction cannot commit in AFTER consistencty mode when have unreachable node
961,104674,https://bugs.mysql.com/bug.php?id=104674,2021-08-20 09:05:00,2021-08-20 09:30:00,MySQL Workbench,Verified(1495 days),S3,"8.0, 8.0.26",Any,Any,MySQLLexer.g4 `BACK_TICK_QUOTED_ID `lexical rule definition bug
962,104670,https://bugs.mysql.com/bug.php?id=104670,2021-08-19 23:00:00,2022-07-11 23:07:00,MySQL Server: Optimizer,Closed(1170 days),S3,8.0.26,Any,Any,NO_SKIP_SCAN hint disables skip scan for all indexes
963,104664,https://bugs.mysql.com/bug.php?id=104664,2021-08-19 08:21:00,2021-08-24 11:54:00,Connector / NET,Closed(1491 days),S3,8.0.21,Linux,Any,Have enough connection but still getting Host 'x.x.x.x' blocked because of many
964,104659,https://bugs.mysql.com/bug.php?id=104659,2021-08-18 22:19:00,2023-06-26 20:04:00,MySQL Server: InnoDB storage engine,Verified(820 days),S2,"8.0.26, 5.7.35",Any,Any,Select * reporting less rows_examined than only fields in an index.
965,104653,https://bugs.mysql.com/bug.php?id=104653,2021-08-18 10:11:00,2021-08-18 10:25:00,MySQL Server: DML,Verified(1497 days),S3,"8.0.26, 5.7.35",Any,Any,extract result incorrect
966,104649,https://bugs.mysql.com/bug.php?id=104649,2021-08-17 19:28:00,2023-07-20 06:09:00,MySQL Server: Security: Encryption,Verified(1497 days),S3,8.0,Any,Any,Contribution: Add the TLS SNI extension when connecting over TLS to a serve ...
967,104643,https://bugs.mysql.com/bug.php?id=104643,2021-08-17 14:11:00,2021-10-06 16:24:00,MySQL Server: Performance Schema,Closed(1448 days),S3,8.0.26,Any,Any,Defaults in performance schema tables incompatible with sql_mode
968,104641,https://bugs.mysql.com/bug.php?id=104641,2021-08-17 07:38:00,2024-12-11 17:15:00,Connector / J,Closed(1441 days),S2,8.0.26,Any,Any,DatabaseMetaData.getImportedKeys can return duplicated foreign keys
969,104639,https://bugs.mysql.com/bug.php?id=104639,2021-08-17 07:16:00,2021-08-18 12:33:00,MySQL Server: InnoDB storage engine,Verified(1497 days),S5,8.0,Any,Any,Simplify the purge_sys->read_view creation to reduce mutex contention
970,104638,https://bugs.mysql.com/bug.php?id=104638,2021-08-17 05:08:00,2021-09-01 22:46:00,MySQL for Windows: Installer,Closed(1483 days),S3,8.0.26.0,Windows (10 Pro),x86,MySQL Community Installer (8.0.26.0) fails to install MySQL Server 5.6.51
971,104631,https://bugs.mysql.com/bug.php?id=104631,2021-08-16 04:22:00,2021-08-17 04:42:00,Connector / NET,Closed(1498 days),S1,8.0.23,Windows (Win10 20H2),Other (Ryzen7),MySql.Data unable to load in .NET 5.0 target application
972,104630,https://bugs.mysql.com/bug.php?id=104630,2021-08-16 03:47:00,2021-08-17 14:26:00,MySQL Server: InnoDB storage engine,Verified(1498 days),S5,8.0,Any,Any,no need to make two conditional judgments
973,104629,https://bugs.mysql.com/bug.php?id=104629,2021-08-16 03:08:00,2021-08-16 07:09:00,MySQL Server: Optimizer,Verified(1499 days),S1,"8.0.25,5.7.35, 8.0.26",Any,Any,wrong result when outer join prune partition tables with is null predicate
974,104628,https://bugs.mysql.com/bug.php?id=104628,2021-08-15 23:37:00,2021-08-20 12:26:00,MySQL Server: DML,Verified(1495 days),S3,8.0,Any,Any,Unused assignment in MySQL-8.0.23
975,104627,https://bugs.mysql.com/bug.php?id=104627,2021-08-15 23:29:00,2022-11-01 02:19:00,MySQL Server: CSV,Verified(1057 days),S2,"5.7, 8.0, 5.7.35, 8.0.26, 8.0.29",Any,Any,ERROR 1194 (HY000): Table 't' is marked as crashed and should be repaired
976,104619,https://bugs.mysql.com/bug.php?id=104619,2021-08-13 14:45:00,2022-09-01 05:55:00,MySQL Server: InnoDB storage engine,Verified(1499 days),S3,8.0,Any,Any,long MVCC snapshots will cause commit stalls via GTID persistor periodic compres
977,104615,https://bugs.mysql.com/bug.php?id=104615,2021-08-13 10:26:00,2021-08-13 11:36:00,MySQL Server: Logging,Verified(1502 days),S5,8.0,Any (rhel7.4),Any (intel-x86),trx commit slow if there are too many binlog files to purge while rotating
978,104609,https://bugs.mysql.com/bug.php?id=104609,2021-08-13 01:41:00,2021-08-13 09:36:00,MySQL Server: DDL,Closed(1502 days),S3,8.0.23,Linux,Any,columns are case-sensitive while create functional index
979,104599,https://bugs.mysql.com/bug.php?id=104599,2021-08-11 21:02:00,2021-08-12 03:25:00,MySQL Server: Security: Encryption,Verified(1503 days),S3,8.0.26,Any,Any,is_boot parameter no longer needed for InnoDB TDE encryption
980,104598,https://bugs.mysql.com/bug.php?id=104598,2021-08-11 15:03:00,2021-11-11 20:54:00,MySQL Server: Command-line Clients,Closed(1412 days),S3,,Any,Any,Contribution: Add prompt option to show transaction status
981,104594,https://bugs.mysql.com/bug.php?id=104594,2021-08-11 10:54:00,2023-11-20 11:12:00,MySQL Server: InnoDB storage engine,Verified(673 days),S5,8.0,Any,Any,no need to maintain young and old area of  LRU list
982,104590,https://bugs.mysql.com/bug.php?id=104590,2021-08-11 09:21:00,2021-08-11 13:14:00,MySQL Server: Replication,Verified(1504 days),S3,"5.7.34, 5.7.35",Any,Any,server_errno=2013 in mysql log for semisync rpl and slave_compressed_protocol
983,104588,https://bugs.mysql.com/bug.php?id=104588,2021-08-11 07:45:00,2021-08-11 08:43:00,MySQL Workbench: Administration,Verified(1504 days),S3,8.0.26,Windows (Microsoft Windows 10 Pro),Any,Run SQL Script results in Python module function error
984,104587,https://bugs.mysql.com/bug.php?id=104587,2021-08-10 23:57:00,2023-10-27 15:08:00,MySQL Server: Logging,Verified(1504 days),S3,8.0.26,Linux,Any,Warning should be removed from the error log when tls_version is empty
985,104584,https://bugs.mysql.com/bug.php?id=104584,2021-08-10 14:27:00,2021-08-12 03:20:00,MySQL Server: Compiling,Verified(1504 days),S1,5.7.35,Ubuntu (20.04),x86,Freshly built mysql client crashes in libedit/terminal.c
986,104583,https://bugs.mysql.com/bug.php?id=104583,2021-08-10 13:46:00,2021-11-10 09:25:00,MySQL Server: Performance Schema,Closed(1448 days),S3,5.7,Any,Any,buf_resize_thread missing in performance_schema.threads
987,104582,https://bugs.mysql.com/bug.php?id=104582,2021-08-10 13:44:00,2021-11-10 09:24:00,MySQL Server: Performance Schema,Closed(1448 days),S3,5.7,Any,Any,fts_optimize_thread missing in performance_schema.threads
988,104576,https://bugs.mysql.com/bug.php?id=104576,2021-08-10 04:18:00,2024-05-28 03:21:00,MySQL Server: Partitions,Closed(1446 days),S5,"8.0.26, 5.7.35",Any,Any,partition table access second index lead to cpu high load
989,104575,https://bugs.mysql.com/bug.php?id=104575,2021-08-10 03:22:00,2021-11-10 09:23:00,MySQL Server: InnoDB storage engine,Closed(1476 days),S3,8.0.26,Ubuntu (20.04),x86,Duplicated threads in performance_schema.threads table
990,104574,https://bugs.mysql.com/bug.php?id=104574,2021-08-09 17:56:00,2021-08-24 11:58:00,MySQL Server: Optimizer,Closed(1492 days),S2,8.0,Any,Any,condition seems not correct
991,104573,https://bugs.mysql.com/bug.php?id=104573,2021-08-09 12:44:00,2022-01-20 07:03:00,MySQL Server: InnoDB storage engine,Verified(1342 days),S2,8.0.19 8.0.26,"Any (centos8, ubuntu20.04, docker)",Any (x86),tablespace is missing for table innodb_undo_002
992,104571,https://bugs.mysql.com/bug.php?id=104571,2021-08-09 09:37:00,2021-08-30 17:10:00,MySQL Server: Charsets,Closed(1485 days),S2,"MySQL 8, 8.0.26",Windows,x86,Strings with ASCII charset and UCS2 don't match in join statement in MySQL 8
993,104569,https://bugs.mysql.com/bug.php?id=104569,2021-08-09 03:20:00,2022-03-02 18:06:00,Connector / Python,Closed(1301 days),S2,"8.0.22, 8.0.23, 8.0.24, 8.0.25, 8.0.26",Any,Any,"Connector/Python >=8.0.22, MySQL <5.7.13 throws exception on close with pooling"
994,104568,https://bugs.mysql.com/bug.php?id=104568,2021-08-08 20:23:00,2021-08-09 05:45:00,MySQL Workbench: Modeling,Verified(1506 days),S2,8.0.26,Windows (Windows 10),x86 (x64),Virtual columns in a table are always VIRTUAL even though STORED is selected
995,104567,https://bugs.mysql.com/bug.php?id=104567,2021-08-08 13:48:00,2021-08-17 07:10:00,MySQL Server: Information schema,Verified(1499 days),S3,"5.7, 8.0, 5.7.35, 8.0.26",Any,Any,Inconsistent result defining binary column default values
996,104566,https://bugs.mysql.com/bug.php?id=104566,2021-08-08 10:04:00,2021-11-07 18:49:00,MySQL Server: Replication,Closed(1416 days),S1,8.0.25,Any,Any,show slave hosts maybe crash
997,104562,https://bugs.mysql.com/bug.php?id=104562,2021-08-06 16:55:00,2021-08-06 17:55:00,MySQL Server: DML,Verified(1509 days),S3,8.0.26,Debian (10.9),x86,"UUID function not executed in implicit subquery, but execute in explicit subquer"
998,104559,https://bugs.mysql.com/bug.php?id=104559,2021-08-06 14:40:00,2021-10-12 16:56:00,Connector / J,Closed(1442 days),S3,8.0.23+,Any,Any,"ResultSet.getObject(i, java.util.Date.class) throws NPE when the value is null"
999,104554,https://bugs.mysql.com/bug.php?id=104554,2021-08-06 08:34:00,2022-01-09 15:37:00,MySQL Server: Document Store: MySQL Shell,Closed(1353 days),S3,8.0,Any,Any,Typo spotted in MySQL Shell
1000,104548,https://bugs.mysql.com/bug.php?id=104548,2021-08-05 14:18:00,2025-04-29 06:02:00,MySQL Server: Optimizer,Closed(147 days),S2,8.0.26-cloud,Linux,Any,Left joined not null column appears as null with window function + order by
1001,104546,https://bugs.mysql.com/bug.php?id=104546,2021-08-05 09:50:00,2024-01-30 15:57:00,MySQL Server: Row Based Replication ( RBR ),Verified(602 days),S5,8.0.26,Ubuntu (18.04.5 LTS),x86 (Skylake-SP),MySQL 8.0.26 single thread replication performance is slower than MySQL 5.7.35.
1002,104534,https://bugs.mysql.com/bug.php?id=104534,2021-08-04 13:11:00,2023-10-11 06:49:00,MySQL Server: Optimizer,Verified(1510 days),S2,"8.0, 8.0.26",Any,Any,Pattern matching using LIKE not working with UFT8MB4_BIN collation
1003,104530,https://bugs.mysql.com/bug.php?id=104530,2021-08-04 08:53:00,2021-08-10 05:21:00,MySQL Server: DDL,Verified(1510 days),S3,"5.7.34, 5.7.35, 8.0.26",Any,Any,show create table or mysqldump display 'null' default value on json field
1004,104529,https://bugs.mysql.com/bug.php?id=104529,2021-08-04 08:20:00,2021-09-06 06:48:00,MySQL Server: InnoDB storage engine,Verified(1511 days),S3,"8.0.23, 8.0.26",Any,Any,LSN keep on increasing without any changes happening at instance level
1005,104526,https://bugs.mysql.com/bug.php?id=104526,2021-08-03 22:26:00,2021-08-04 06:24:00,MySQL Server: Group Replication,Verified(1511 days),S3,,Any,Any,Contribution: Add endpoint host:port to error message and describe another  ...
1006,104525,https://bugs.mysql.com/bug.php?id=104525,2021-08-03 18:18:00,2021-09-01 19:33:00,MySQL Server: DML,Verified(1483 days),S2,8.0.26,Any,Any,EXISTS in Stored Proc returns incorrect result after first SP execution
1007,104515,https://bugs.mysql.com/bug.php?id=104515,2021-08-02 23:00:00,2022-08-02 15:35:00,MySQL Visual Studio Integration,Verified(1510 days),S1,1.2.10,Windows,ARM,Configuration Update Tool Fails
1008,104504,https://bugs.mysql.com/bug.php?id=104504,2021-08-02 12:26:00,2021-08-20 16:44:00,MySQL Server: Parser,Closed(1495 days),S3,"8.0.25, 8.0.26",Any,Any,COLLATE maybe overwritten by charset if both specified in create database stmt
1009,104500,https://bugs.mysql.com/bug.php?id=104500,2021-08-01 00:35:00,2021-08-02 05:28:00,MySQL Server: Command-line Clients,Verified(1513 days),S3,8.0,Any,Any,Contribution: Add prompt option to show transaction status
1010,104499,https://bugs.mysql.com/bug.php?id=104499,2021-07-31 20:35:00,2021-08-27 12:02:00,MySQL Server: InnoDB storage engine,Verified(1489 days),S3,,Any,Any,MySQL auto_inc value changed after a failed insert
1011,104491,https://bugs.mysql.com/bug.php?id=104491,2021-07-30 22:12:00,2023-04-18 15:07:00,MySQL Server: Replication,Closed(1163 days),S3,8.0.20,Any,Any,Contribution by Facebook: Fix race between binlog sender heartbeat timeout  ...
1012,104478,https://bugs.mysql.com/bug.php?id=104478,2021-07-30 14:25:00,2021-08-03 04:33:00,MySQL Workbench,Closed(1513 days),S3,,MacOS (Big Sur Version 11.5),Any,MySQL Workbench throwing 1064 Error after updating to Big Sur Version 11.5 (20G7
1013,104461,https://bugs.mysql.com/bug.php?id=104461,2021-07-29 16:52:00,2021-08-09 21:12:00,MySQL Server: C API (client library),Closed(1517 days),S3,8.0.17,Any,Any,Contribution by Facebook: Fix SSL memory leak on connection close (code for ...
1014,104451,https://bugs.mysql.com/bug.php?id=104451,2021-07-29 07:40:00,2021-07-29 08:45:00,MySQL Server: Replication,Verified(1517 days),S3,"5.7.34, 5.7.35, 8.0.26",Any,Any,"All ""DROP TABLE"" binlog events marked with flag LOG_EVENT_THREAD_SPECIFIC_F"
1015,104447,https://bugs.mysql.com/bug.php?id=104447,2021-07-28 16:51:00,2023-02-01 16:36:00,MySQL Server: Performance Schema,Closed(1240 days),S3,8.0.20,Any,Any,Contribution by Facebook: Fix freed memory access in performance schema tab ...
1016,104446,https://bugs.mysql.com/bug.php?id=104446,2021-07-28 16:44:00,2022-02-02 12:23:00,MySQL Server: Tests,Closed(1342 days),S3,8.0.20,Any,Any,Contribution by Facebook: Test case fix: Fix main.ssl-big
1017,104443,https://bugs.mysql.com/bug.php?id=104443,2021-07-28 15:07:00,2023-08-12 08:14:00,MySQL Workbench,Verified(1517 days),S3,"8.0.24, 8.0.26, 8.0.32",Windows (Microsoft Windows 10 Pro),Any,"MySQL Workbench Table Data Export Wizard crashes when clicking ""Advanced"""
1018,104442,https://bugs.mysql.com/bug.php?id=104442,2021-07-28 15:03:00,2021-07-29 09:22:00,MySQL Server: Windows,Verified(1517 days),S3,5.7,Windows (Windows 10),Any,mysqld doesn't work with Windows Sandbox on Windows 10
1019,104439,https://bugs.mysql.com/bug.php?id=104439,2021-07-28 11:41:00,2023-04-25 16:22:00,MySQL Server: Installing,Verified(1512 days),S3,mysql-8.0.26,MacOS,ARM (Apple Silicon M1),mysql-8.0.26-macos11-arm64.dmg installer hangs/freezes
1020,104436,https://bugs.mysql.com/bug.php?id=104436,2021-07-28 07:46:00,2021-07-31 11:07:00,MySQL Server: Replication,Verified(1515 days),S3,"5.6.51,5.7.35",Any,Any,the logic of process_io_rotate not consistent to it's comment
1021,104432,https://bugs.mysql.com/bug.php?id=104432,2021-07-28 03:03:00,2022-01-25 17:08:00,MySQL Server: DML,Verified(1490 days),S3,"8.0.22, 8.0.26",Any,Any,Stuck on mysql_cond_wait when get_table_share for non-exist tables
1022,104429,https://bugs.mysql.com/bug.php?id=104429,2021-07-27 14:55:00,2021-08-25 08:36:00,Tools: MTR / mysql-test-run,Verified(1490 days),S3,"5.7.X, 8.0.X, 5.7.35, 8.0.26",Any,Any,MTR uses wrong timezone
1023,104423,https://bugs.mysql.com/bug.php?id=104423,2021-07-27 09:12:00,2021-11-24 19:23:00,MySQL Server: Security: Privileges,Closed(1399 days),S3,8.0.26,Any,Any,SHOW CREATE DATABASE fails with a role that has global level privilege
1024,104421,https://bugs.mysql.com/bug.php?id=104421,2021-07-26 19:58:00,2021-07-29 07:07:00,MySQL Server: Optimizer,Verified(1517 days),S2,"8.0.26, 5.7.35",Any,Any,Bad plan for WHERE customer_id = @cid ORDER BY id LIMIT 10 with compound PK.
1025,104411,https://bugs.mysql.com/bug.php?id=104411,2021-07-25 13:35:00,2021-08-13 15:23:00,MySQL Server: DML,Closed(1502 days),S2,8.0.26,MacOS (Mac OS X 10.14),x86,No result set returned when using HAVING COUNT(DISTINCT ...)
1026,104405,https://bugs.mysql.com/bug.php?id=104405,2021-07-24 05:44:00,2021-07-26 05:53:00,MySQL Server: Information schema,Verified(1520 days),S3,"5.7.18, 8.0",Any,Any,show processlist return -1 in TIME field
1027,104402,https://bugs.mysql.com/bug.php?id=104402,2021-07-23 19:25:00,2021-10-08 21:44:00,MySQL Server: Packaging,Closed(1519 days),S2,8.0.26,Oracle Linux,Any,Minimal Linux binaries for 8.0.26 are not minimal
1028,104394,https://bugs.mysql.com/bug.php?id=104394,2021-07-23 10:18:00,2021-08-30 12:06:00,MySQL Server: DML,Closed(1488 days),S3,8.0,Any,Any,SELECT's GROUPING() not taken in account in HAVING when JOIN used
1029,104387,https://bugs.mysql.com/bug.php?id=104387,2021-07-22 21:24:00,2021-08-20 11:14:00,MySQL Server: Optimizer,Closed(1497 days),S2,"8.0.22, 8.0.23, 8.0.24, 8.0.25, 8.0.26",Any,Any,CHARACTER_SET_MISMATCH issue with regex comparisons
1030,104375,https://bugs.mysql.com/bug.php?id=104375,2021-07-21 08:24:00,2021-07-28 16:04:00,Shell Dump & Load,Closed(1518 days),S3,"8.0.25, 8.0.26",Any,Any,MySQLShell util.loadDump() doesn't recognise users like  'username'@'1.2.3.4'
1031,104374,https://bugs.mysql.com/bug.php?id=104374,2021-07-21 08:06:00,2021-10-06 21:43:00,Connector for Node.js,Closed(1448 days),S3,8.0.26,Linux (Ubuntu 20.04),Any,Pooling connection closed
1032,104373,https://bugs.mysql.com/bug.php?id=104373,2021-07-21 07:26:00,2021-07-29 08:24:00,MySQL Server: Replication,Verified(1519 days),S3,"8.0.21 - 8.0.25, 8.0.26, 5.7.35",CentOS (7/8),x86,Killed/Aborted Optimize Table Logged to Binlog
1033,104372,https://bugs.mysql.com/bug.php?id=104372,2021-07-21 05:11:00,2021-07-21 12:47:00,MySQL Workbench: Migration,Verified(1525 days),S3,"8.0.22, 8.0.25",Any,Any,Date format conflicts with referenced Python article
1034,104365,https://bugs.mysql.com/bug.php?id=104365,2021-07-20 11:51:00,2023-06-21 13:00:00,MySQL Workbench: Administration,Verified(1526 days),S3,"8.0.26, 8.0.33",Any,Any,'charmap' codec can't decode byte 0x9d  in position Y: character
1035,104364,https://bugs.mysql.com/bug.php?id=104364,2021-07-20 11:43:00,2022-05-10 11:54:00,MySQL Workbench: Administration,Verified(1526 days),S3,"8, 8.0.26",Any,Any,Workbench can't change configuration file
1036,104349,https://bugs.mysql.com/bug.php?id=104349,2021-07-18 17:00:00,2023-03-28 11:12:00,Connector / J,Closed(1267 days),S3,8.0.25,Any,Any,com.mysql.cj NPE
1037,104346,https://bugs.mysql.com/bug.php?id=104346,2021-07-17 07:26:00,2021-09-13 04:15:00,Connector / ODBC,Closed(1471 days),S2,8.0,Windows,Any,MySQL ODBC 8.0 Unicode Driver Fails to Return 4-Byte Emoji from Database
1038,104345,https://bugs.mysql.com/bug.php?id=104345,2021-07-16 23:45:00,2021-07-17 18:24:00,MySQL Server: DDL,Verified(1529 days),S3,8.0,Any,Any,Unexpected cross join select error (#1022 can't write; duplicate key in table)
1039,104339,https://bugs.mysql.com/bug.php?id=104339,2021-07-16 13:23:00,2021-10-02 16:58:00,Shell Dump & Load,Closed(1452 days),S2,"8.0.24, 8.0.25",Windows,Any,mysqlshell loadDump() needs to load roles before users
1040,104336,https://bugs.mysql.com/bug.php?id=104336,2021-07-16 12:38:00,2021-07-17 18:27:00,MySQL Server: DML,Verified(1529 days),S1,8.0,Any,Any,LEFT Join giving duplicate records for matching records from right table
1041,104329,https://bugs.mysql.com/bug.php?id=104329,2021-07-16 05:23:00,2021-07-16 10:09:00,Shell Dump & Load,Closed(1530 days),S3,8.0.25,CentOS,x86,strip_role_admin cannot be specified in the MySQL Shell compatibility option
1042,104325,https://bugs.mysql.com/bug.php?id=104325,2021-07-15 12:46:00,2021-09-03 21:38:00,MySQL Server: Prepared statements,Closed(1481 days),S3,8.0.25,Linux,Any,Prepared statements does not work with multi-value indexes
1043,104324,https://bugs.mysql.com/bug.php?id=104324,2021-07-15 09:05:00,2021-07-19 12:09:00,MySQL Server: InnoDB storage engine,Closed(1531 days),S3,8.0,Any,Any,innodb early lock release problem
1044,104323,https://bugs.mysql.com/bug.php?id=104323,2021-07-15 07:46:00,2021-10-27 12:58:00,MySQL Server: C API (client library),Verified(1531 days),S3,5.7,Any,Any,mysql change user authentication error
1045,104282,https://bugs.mysql.com/bug.php?id=104282,2021-07-12 08:14:00,2021-07-13 08:35:00,MySQL Server: Optimizer,Verified(1533 days),S3,8.0.25,Any,Any,order by index is not used with low selectivity fields and similar idx
1046,104250,https://bugs.mysql.com/bug.php?id=104250,2021-07-08 06:47:00,2021-07-16 13:18:00,MySQL Server: DML,Verified(1530 days),S3,8.0.25,Any,Any,kill query will case some mysql client block
1047,104246,https://bugs.mysql.com/bug.php?id=104246,2021-07-08 03:44:00,2021-07-08 04:45:00,MySQL Server: Optimizer,Verified(1538 days),S2,8.0.25,Any,Any,query result error with unique index
1048,104245,https://bugs.mysql.com/bug.php?id=104245,2021-07-07 22:38:00,2021-10-15 18:31:00,MySQL Server: InnoDB storage engine,Verified(1537 days),S3,5.7.34,Any,Any,Wrong row lock number in SEIS
